타임스탬프,몇학년인가요?,"1.평소에 스트레칭을 하시나요?(스트레칭을 하시면 1-1,안하시면 1-2)",1-1 일주일에 스트레칭을 몇 번하나요? (1-1을 답변 하였다면 2번으로),1-2 스트레칭을 안하시는 이유는?(안한 사람만 해당되는 질문입니다. 질의 응답 후 2-1로.),2.스트레칭 한다면 어떤 변화 느껴지시나요?(1-1 질문을 작성한 사람에게 해당되는 질문입니다.),2-1스트레칭을 안하시면 평소 자신의 컨디션 혹은 건강상태는 어떤가요?,"스트레칭의 중요성,해야하는 이유 등 스트레칭에 대한 본인의 견해를 편하게 얘기해주세요.
ex)스트레칭을 해야하는 이유는 우리의 굳어진 몸을 풀 수 있고 ~~이기 때문이다. 등 처럼 편하게 적어주시면 감사하겠습니다."
2024. 6. 10 오후 12:21:21,11,아니오,0,힘들어요,없음,괜찮아,저는 사실 해야할 이유를 모르겠어요
2024. 6. 10 오후 12:22:16,11,예,3,없음,"근육통이 사라져요, 스트레스 해소가 돼요, 미정이가 좋아해줘요","몸이 많이 뻐근해져요, 조금 기분도 저하 돼요
잘 안하는 이유 : 공부 때문에 할 시간이 부족해요, 또 안하다가 갑자기 하려면은 몸이 따라주지를 않아요 ( 오히려 근육통이 더 생겨요)",스트레칭을 해야하는 이유로는 굳어진 몸을 풀어줄 수 있으며 공부 하다가 잠시 몸을 가볍게 움직여 주면서 머리에 있던 스트레스도 풀어줄 수 있기 때문입니다.
2024. 6. 10 오후 12:45:36,11,아니오,0,시간 없음. 학업 문제로 인해,,변화 없음,스트레칭을 해야하는 이유는 우리의 굳어진 몸을 풀 수 있고 피곤함을 없앨 수 있기 때문이다. 
2024. 6. 10 오후 12:45:39,11,예,7,없음,몸이 개운해지고 잠이 깸,없음,스트레칭을 하면 아침에 잠을 쉽게 깰수 있고 몸의 굳어 있는 근육을 풀어줄 수 있기 때문에 중요하다
2024. 6. 10 오후 12:47:23,11,예,3,없음,"건강해지는 느낌이 든데이, 마음이 평온해집니데이, 유연성 증가",,스트레칭을 해야하는 이유는 우리의 굳어진 몸을 풀 수 있고 마음을 안정시키고 평온하게 만들 수 있기 때문이다. 
2024. 6. 10 오후 12:51:50,12,예,4,없음,근육을 풀 수 있어서 장기간 앉아있어도 아프지가 않다.,,스트레칭을 해야하는 이유는 자신의 굳어진 몸을 풀 수 있고 집중력 향상에 도움이 되어 중요하다
2024. 6. 10 오후 12:55:33,11,아니오,0,귀찮아서,없음,좋을때도 있고 안좋을때도 있음,스트레칭을 하면 굳은 몸이 풀리고 아침에 일어날때 스트레칭을 하면 몸도 정신도 좋아지기 때문이다.
2024. 6. 10 오후 12:56:19,12,예,7,없음,기분이 개운하고 몸의 긴장이 완화되는 느낌,,급격한 움직임 전에 스트레칭을 하면서 부상을 방지 할 수 있습니다. 
2024. 6. 10 오후 1:02:24,11,아니오,1,까먹어서,없음,뻐근함,스트레칭하면 몸이 산쾌해지고 혈액 순환에 도움이 됨
2024. 6. 10 오후 1:04:19,40,예,7,없음,혈액순환,없음,혈액순환에 도움이 됩니다.
2024. 6. 10 오후 1:05:03,12,아니오,0,필요성 못 느낌.,없음,보통,스트레칭은 근육 이완에 도움을 주기에 앞으로 해야할 것 같습니다~
2024. 6. 10 오후 1:08:14,11,예,4,없음,몸이 편햐진 느낌,다리가 살짝 불편함,운동후 스트레칭해야 근육이 유연해지고 근육통으로 고통받을 확률을 줄일 수 있다
2024. 6. 10 오후 1:17:32,12,예,7,몸을 풀고 운동을 하기 위해서 스트레칭을 합니다.,개운하고 차분해진다.,뻐근하고 조금 불편합니다.,스트레칭은 키가 커지고 몸이 풀리며 상쾌한 상태를 느낄수 있기 때문입니다.
2024. 6. 10 오후 1:25:22,11,예,4,없음,"스트레칭을 하면 근육과 관절의 유연성이 향상되어 움직임 범위가 증가하고 긴장이 완화됩니다. 또한 혈액 순환을 개선하여 근육에 더 많은 산소와 영양분을 공급하며, 자세를 개선하고 부상의 위험을 줄이는데 도움이 됩니다. 이로 인해 통증이 감소하고 정신적으로 이완되는 효과를 느낄 수 있습니다.","스트레칭을 하지 않으면 근육과 관절의 유연성이 감소할 수 있어 움직임 범위가 제한되고, 긴장과 스트레스가 쌓일 수 있습니다. 또한 혈액 순환에도 영향을 줄 수 있어 근육에 충분한 영양분과 산소가 공급되지 않을 수 있습니다. 이로 인해 자세가 나빠지고 부상의 위험이 증가할 수 있으며, 만성 통증이나 긴장성 허리통증 등의 문제가 발생할 수 있습니다. 따라서 정기적인 스트레칭은 건강한 상태를 유지하고 자세를 개선하는 데 중요합니다.","스트레칭은 우리 몸을 활기차게 유지하고 건강을 유지하는 데 매우 중요합니다. 우리는 매일의 활동으로 근육이 긴장되고 관절이 둔해지는데, 스트레칭을 통해 이러한 굳은 부분을 풀어줄 수 있습니다. 이를 통해 움직임 범위가 증가하고 자세가 개선되며, 부상의 위험이 줄어듭니다. 또한 스트레칭은 심신을 이완시켜 스트레스를 줄여주고 긴장을 완화시킵니다. 정기적인 스트레칭은 우리 몸을 건강하고 활기차게 유지하는 데 필수적입니다."
2024. 6. 10 오후 2:04:12,8,예,7,없음,아침마다 스트레칭을 하면 하루가 개운해진다,,스트레칭은 밤새 뭉친 근육을 풀어야하기 때문에 중요하다
2024. 6. 10 오후 2:20:55,11,예,10,없음,네,뻐근하다 ,스트레칭을 했을 때 실제로는 모르겠지만 혈액순환이 잘 되는 느낌을 받는다.
2024. 6. 10 오후 3:02:49,8,예,4,없음,척추가 펴지고 키가 커짐,없음,키가 커진다 진짜 커진다 해야된다 추천한다
2024. 6. 10 오후 3:56:58,11,아니오,0,시간이 없어서 ,없음,어지럽고 피곤할 때가 많습니다,혈액순환을 위해 스트레칭을 해야한다고 생각합니다
2024. 6. 10 오후 5:15:29,10,예,2,없음,몸의 피로가 사라지는 기분이고 뻐근하고 찌뿌둥했더 몸아 편안해지는 느낌,컨디션에는 큰 작용을 허지 않는다,스트레칭을 함으로서 평소에 운동울 자주 하지 않아도 몸이 풀리는 느낌이고 주로 책상에만 계속 앉아있어서 피로한 몸을 달래주기 때문이다.
2024. 6. 10 오후 7:46:10,11,예,3,없음,뻐근했던게 사라짐.,없음,해야하는 이유는 우리의 굳어진 몸을 풀 수 있고 몸을 건강하고 유연하게 할 수 있기 때문이다.
2024. 6. 10 오후 10:32:44,11,예,7,없음,개운해짐,없음,스트레칭을 하면 긴장하고 수축되어 있는 근육을 이완함으로써 몸에 안정감을 줄 수 있기 때문이다
2024. 6. 10 오후 11:53:39,13,아니오,0,필요성을 못느껴서,없음,몸이 더 뻐근합니다,혈액 순환이 잘 됩니다
2024. 6. 11 오전 12:04:34,11,아니오,0,"하는 시간이 없어요. 과제, 수행, 공부 등",,그냥 잠이 부족해서 힘든 것일뿐 스트레칭와 관련이 없다고 생각합니다. ,스트레칭을 해야하는 이유는 긴장 되어 있는 근육을 기분 좋게 이완시키는 데에 있다고 생각합니다. 
2024. 6. 11 오전 6:19:49,11,예,3,없음,개운하고 건강해진느낌이 들어요,,저같이 몸이 자원인 사람들은 스트레칭을 안해주면 몸이 비틀리고 병원다니느라 돈을 다 쓰기때문에 미리미리 관리해야 하기때문에 스트레칭을 해야해요
2024. 6. 11 오후 1:16:02,7,아니오,0,시간이 없고 막상하면 몸이 안따라준다.,,허리디스크가 있다.,스트레칭을 하려면 시간이 너무 많이 걸리고 몸이 안 따준다.
2024. 6. 11 오후 1:17:23,9,예,4,없음,몸이 개운합니다.,없음,스트레칭을 해야하는 이유는 몸을 건강하게 가꿔줍니다.
2024. 6. 11 오후 1:18:07,11,예,1,없음,몸이 개운하고 뻐근함이 풀린다,,필요하다. 미음의 건강과 동시에 몸도 건강해짐
2024. 6. 11 오후 1:18:56,11,아니오,0,시간이 너무 부족하다,없음,나쁘지 않다,별로 필요하지 않다
2024. 6. 11 오후 1:19:32,12,아니오,0,할 시간이 없고 막상하려면 몸이 안따라준다.,,거북목이 심하고 어깨가 말려있고 뻐근하다.,스트레칭을 하게 되면 건강은 좋아지지만 기초가 없는 상태에서 하면 몸이 안좋아진다.
2024. 6. 11 오후 1:45:47,11,아니오,0,귀찮아서,없음,평범함,스트레칭은 우리몸의 기초적인 클을 마련하는 운동이다.
2024. 6. 11 오후 1:46:09,10,아니오,0,시간이 없습니다. 함부로 스트레칭을 하게 된다면 몸이 더 뻐근해진다.,,거북목과 허리 디스크가 있다.,스트레칭은 몸을 건강하게 가꿔주지만 적당히 해야 효과가 나타난다.
2024. 6. 11 오후 1:46:23,7,예,5,없음,기분이 좋더,평범,혈액순환에 도움이 됩니다.
2024. 6. 11 오후 1:49:49,7,예,3,없음,몸이 개운해진다. 그리고 유연해지는 느낌을 받는다.,,스트레칭을 3번 하는 사람으로써 매일 아침 일어날 때 개운한 느낌과 피곤함이 없고 상쾌한 아침을 맞이 할 수 있고 잘 때 아픈 곳이 없어서 스트레칭은 간단하지만 좋은 운동중 하나이다.
2024. 6. 11 오후 1:53:40,9,아니오,0,귀찮아서,뻐근한게 괜찮아져요,근육통이 심해요,스트레칭을 하면 키가 커져요
2024. 6. 11 오후 1:55:49,13,아니오,0,알바하느라 시간이 없습니다. 대학 생활 하느라 너무 바빠서.,,뻐근하고 개운하지가 않습니다.,"스트레칭은 기초적인 면역력과 건강을 챙길 수 있습니다.
"
2024. 6. 11 오후 1:55:49,12,예,2,없음,몸이 개운해쟈요,뻐근해요,스트레칭을 하면 유연해서 좋아요
2024. 6. 11 오후 1:58:40,9,예,5,없음,아침부터 일어나는데 개운하는 느낌과 상쾌한 느낌을 받게 될 수 있습니다  ,,스트레칭을 기초적이고 간단하지만 우리의 건강과 삶에 큰영향을 미치는 기초적인 운동이라고 생각합니다  
2024. 6. 11 오후 2:06:18,8,예,4,해요,몸이 개선돼요,몸이 무거운 느낌이 들어요,스트레칭은 몸 개선에 좋고 키가 커져요
2024. 6. 11 오후 2:07:56,10,아니오,0,안하던 스트레칭을 하게 되면 몸이 놀라게 되어 안하게 되고 할 필요가 없다고 생각합니다.,,거북목이 있습니다. 뒷못이 아파요.,스트레칭은 중요하지만 시간이 없어서 할 시간이 없어요.
2024. 6. 11 오후 2:12:39,10,예,7,없음,근육이 풀어지고 포즈가 좋아진다,힘듬,균형이 좋아짐
2024. 6. 11 오후 2:14:05,12,아니오,0,귀찮,모름,그냥 그럼,스트레칭을 하면 몸의 기능이 좋아지고 순환이 잘된다.
2024. 6. 11 오후 2:17:09,7,예,6,없음,건강한 느낌을 받을 수 있다.,없음,스트레칭은 몸을 유연하게 만들어준다.
2024. 6. 11 오후 2:18:02,11,예,0,그냥 ,그냥 그럼,그냥 그럼,병 예방
2024. 6. 11 오후 2:20:15,11,예,3,귀찮아서,몰라요,그냥 평소이랑 같다.,스트레칭는 중요합니다.왜냐하면 안 다치기 위해
2024. 6. 11 오후 2:24:08,7,예,6,없음,스트레칭을 하면 개운한 느낌과 키가 커진느낌을 받을 수 있다.,,스트레칭은 기초적인 운동이기에 건강을 위해서 해야한다.
2024. 6. 11 오후 2:25:28,12,아니오,0,시간이 없어서. ,없음,거북목과 뒷목이 많이 아픔.,스트레칭은 기초적인 건강을 마련할 수 있지만 시간이 없다.
2024. 6. 11 오후 2:26:38,12,아니오,0,입시로 인해 스트레칭을 할 시간이 없어요.,,건강하다는 느낌을 받지는 못합니다. 몸이 뻐근합니다.,스트레칭은 건강을 위해서 해야하고 굳어진 몸을 풀어줄 수 있습니다.
2024. 6. 11 오후 2:28:28,7,예,5,전 스트레칭을 너무~~ 좋아해요 개운하거든요ㅕ,스트레칭을 하면은 너어무 시원해지면서 키가 커진고 같아서 좋ㄹ아요,음... 아ㅑ무렇지도 않아요,스트레칭은 우리 몸을 유연하게 만들어주는 기초적인 운동이다.
2024. 6. 11 오후 2:28:50,8,예,1,없음,개운하다는 느낌과 뻐근함이 사라진다.,,스트레칭은 우리 굳어진 몸을 풀 수 있고 기초적이고 건강한 몸을 가꿔주게 하는 기초적인 운동이기에 좋습니다.
2024. 6. 11 오후 2:31:59,40,예,7,없음,아침부터 일너나서 간다하게 스트레칭을 하면 몸이 개운하게 느껴지고 뻐근함이 없어지고 아침부터 상쾌하게 시작할 수 있습니다. 그리고 뻐근했던 몸이 스트레칭으로 몸을 편하게 풀 수 있다는 것도 느꼈습니다. 스트레칭으로 인해 몸이 가볍고 활기찬 느낌을 받았습니다.,,스트레칭은 우리의 몸을 가볍게 할 뿐만 아니라 건강하게 가꿔줍니다.
2024. 6. 11 오후 2:33:44,9,아니오,0,시간이 없다.,없음,건강하지 않다.예를 들면 거북목이 있다.,"필요성을 못 느끼겠다.
"
2024. 6. 11 오후 2:34:47,11,아니오,0,귀찮아요,몰라요,그냥 그래요,스트레칭하면 긍정적인 영향을 줄수 있음
2024. 6. 11 오후 2:41:35,10,예,7,없음,딱딱해진 근육의 긴장을 풀게 되어 개운한 느낌을 받을 수 있다 ,,스트레칭의 가장 큰 효과는 긴장 되어 있는 근육을 이완시크는 데에 효과가 있습니다.
2024. 6. 11 오후 3:02:49,12,예,2,없음,몸이 유연해짐.,없음,몸을 건강하게 가꿔줌.
2024. 6. 11 오후 4:08:23,10,예,5,없음,어깨가 더 잘 움직여진다,없음,스트레칭을 하면 굳어져 있는 관절을 풀고 자세가 자연스럽게 교정되기 떄문에 해야한다고 생각한다.
2024. 6. 11 오후 4:12:43,10,예,4,없음,몸이 유연해짐 + 잔부상(근육이 올라오거나 쥐가 남)이 덜 함,,"스트레칭을 하든 안 하든 운동을 할 순 있으나 
스트레칭을 하지 않고 운동하면 
자칫하면 영원히 운동을 못 할 수 도 있다고 생각한다"
2024. 6. 12 오후 6:54:45,10,예,3,없음,"몸이 개운해지고 가벼워진다. 
졸렸던 뇌가 깬다. ",좀비같다. ,"스트레칭은 몸이 편안해지도록 도와준다. 몸이 찌뿌둥 하다가도 온몸을 쭉쭉피면 다시 정상으로 돌아온다. 그리고, 스트레칭은 우리의 골반까지 교정시켜주어서 몸에 피곤함을 많이 덜어준다. 그래서 스트레칭을 하루에 한번씩은 꼭 해야한다고 생각한다!"
2024. 6. 12 오후 6:56:48,9,예,7,없음,상쾌해진다,없음,아침에 일어나자마자 잠깨기 위해 스트레칭을 해주는데 아침에 하면 뭔 효능 있다 들었는데 기억력 안좋아서 기억안나요
2024. 6. 12 오후 8:00:29,7,예,3,없음,몸이더 가벼워진 느낌,없음,스트레칭은 해야하는 이유는 운동전에 스트레칭을 안하면 다칠수 있기때문이다
2024. 6. 12 오후 8:02:00,8,예,3,없음,기분이 상쾌해짐,없음,굳어진 몸을 풀 수 있다
2024. 6. 12 오후 8:08:38,9,예,4,없음,뻐근했던 몸이과 근육기 이완이 된걸 느껴진다.,,스트레칭은 기초적인 운동이지만 단순한 운동이 아닌 기초적인 운동으로 인해 우리 몸을 유연함과 동시에 어덯게 하면 몸을 잘 가꿔줄 수 있는지 등 스트레칭은 위대한 운동이자 기초적인 운동을 다져준다.
2024. 6. 12 오후 8:08:48,8,예,4,없음,뻐근했던 몸이 풀린다.,없음,스트레칭을 해야하는 이유는 뻐근한 몸을 풀어주고 심신의 안정을 갖고 오기 때문이다.
2024. 6. 12 오후 8:13:01,7,예,5,없음,몸이 개운해짐,없음,스트레칭을 해야하는 이유는 긴장한 근육을풀수 있고 근육의 피로를 줄여 회복을 촉진시킬수 있기 때문이다.
2024. 6. 12 오후 8:13:16,10,예,4,없음,몸이 풀린다,비슷하다,근육을 풀어주고 쥐가 안나게 한다
2024. 6. 12 오후 8:32:55,10,예,10,없음,"마음의 평화, 안정",없음,스트레칭을 함으로써 자신의 몸에 있는 독소들을 빼내고 정신적 안정을 하며 몸을 비울 수 있어 꼭 해야한다
2024. 6. 12 오후 8:35:51,9,예,7,없음,"몸 붓기 빠지고 소화에 도움, 아침에 개운함, 다리 매끄러워짐",,스트레칭을 매일 하면 근육을 늘릴수있다. 근육을 늘리면 유연성도 좋아지고 스트레칭도 훨씬 수월하게 하게되고 그러면 몸이 점말 가볍고 편안해진다.
2024. 6. 12 오후 8:48:41,9,예,2,없음,몸이 개운해진다,없음,스트레칭을 하면 키가 커지기 때문
2024. 6. 12 오후 9:12:18,7,예,4,없음,개운해진다,그냥 똑같은거 같다,스트레칭을 해야하는 이유는 우리 몸이 개운해지고 피로도 플고 몸도 건강해질수 있기 때문입니다
2024. 6. 12 오후 9:24:19,11,예,10,없음,Tight 했던 근육들이 늘어나는 느낌이 남,몸이 무거움,운동 잘하고 싶으면 해라
2024. 6. 12 오후 9:25:54,7,예,3,없음,굳었던 신경들이 좀 깨다가 다시 잠드는 기분,몸뚱이가 답답하가,스트레칭을 해야하는 이유는 굳어진 몸을 풀수 있고 휜뼈 등을 고정하기에 도움이 될수있는 행동이기도 하며 동시에 자신의 몸이 다치지않게 예방할수 있다
2024. 6. 12 오후 11:13:30,7,예,7,없음,조금씩 유연해지고 있다.,없음,"운동을 하기 전에 스트레칭을 하면 몸을 풀어줘서 잘 다치지 않고, 평소에 스트레칭을 자주 하면 유연해지고, 몸이 굳지 않게 도와주기 때문이다."
2024. 6. 13 오전 8:10:07,7,아니오,0,귀찮아요,없음,뻐근합니다.,스트레칭은 기초적린 운동이고 좋습니다.
2024. 6. 13 오전 8:11:16,9,예,3,없음,개운하다는 느낌을 받았습니다. ,,스트레칭은 우리 몸을 건강하게 만들어주는 기초적인 운동 중 하나입니다.
2024. 6. 13 오전 8:13:00,11,예,4,없음,스트레칭을 하면 몸이 편해지고 뻐근한 곳이 없습니다.,,"스트레칭을 해야하는 이유는 몸을 건강하게 해줍니다.
"
2024. 6. 13 오전 8:13:53,8,아니오,0,시간이 없어서.,없음,건강합니다.,"스트레칭을 해야하는 이유는 몸을 건강하게 해줍니다.
스트레칭은 몸을 건강하게 해줍니다."
2024. 6. 13 오전 8:16:03,12,아니오,0,학업으로 인해 시간이 없어서,,그냥 그렇다,스트레칭의 가장 큰 효과는 뭉친 근육을 풀 수 있습니다.
2024. 6. 13 오전 8:16:40,10,예,3,없음,몸이 이완되고 건강해진 느낌을 받는다.,,스트레칭은 몸을 이완하는데 큰 효과가 있는 기초적인 운동이다.
2024. 6. 13 오전 8:17:15,7,예,7,없음,키사 커진 느낌과 개운하다는 느낌을 받습니다.,,스트레칭은 몸을 이완하는데 큰 효과가있는 기초적인 운동이다.
2024. 6. 13 오전 8:25:06,8,아니오,0,귀찮아서 ,없음,그냥 그럼,스트레칭을 해야하는 이유는 몸이 유연해지기 때문이다
2024. 6. 13 오전 8:26:38,10,아니오,0,귀찮아서,없음,나쁘지 않아요,스트레칭을 하면 몸이 편안해지겠네요
2024. 6. 13 오전 8:27:21,11,아니오,0,어떻게 하는지 몰라서,없음,없음,스트레칭을 안해도 아프지 않은디 스트레칭의 혀과를 정확하게 모르겠어요
2024. 6. 13 오전 8:29:22,11,아니오,0,귀찮아서,없음,몸이 뻐근하다,뭉친 근육을 풀고 바른 자세를 유지하기 위해
2024. 6. 13 오전 8:30:11,9,아니오,0,귀찮아요,없음,평범해요,스트레칭은 우리 몸에 긴장과 피로를 풀어줄수있기에 저는 스트레칭을 해야 한다고 생각합니다
2024. 6. 13 오전 8:32:12,11,아니오,1,할 생각을 못함,키 약간 커지고 몸이 더 가볍게 느껴질거 같다.,몸을 움직이는게 힘들다.,몸이 더 가벼워지고 더 행복한 삶을 느낄수 있어서 해야한다.
2024. 6. 13 오전 8:37:14,7,예,7,없음,기분이 좋아진다,없음음,스트레칭을 하면 몸이 가벼워지는것 같고 졸리거나 굳어진 몸이 풀리는것 같다.
2024. 6. 13 오전 8:53:33,10,아니오,0,귀찮고 시간이 없어서,없음,"피곤하고 몸이 붓는다는 느낌이 듦/척추측만증, 거북목이 있음","확실히 어릴때 부터 스트레칭을 생활화 해야 허리, 등에 무리가 안 가는 것 같다."
2024. 6. 13 오전 9:01:25,11,예,4,시간이 없어서,개운한 느낌을 준다,조금 힘둘다,"스트레칭을 해야 하는 이유는 우리의 굳어진 몸을 풀 수 있고 유연성을 향상시킬 수 있기 때문이다.
"
2024. 6. 13 오전 9:04:49,11,예,2,귀찮아서,몸이 더 유연해진다.,몸이 뻣뻣해요,스트레칭을 해야 하는 이유는 근육 긴장을 완화할 수 있기 때문이다.
2024. 6. 13 오전 9:07:45,11,예,3,효과를 못 느껴서,근육이 덜 뭉친다.,근육이 자주 뭉쳐요,스트레칭을 해야 하는 이유는 운동 성능을 향상시킬 수 있기 때문이다.
2024. 6. 13 오전 9:15:42,11,예,2,스트레칭 방법을 몰라서,피로가 줄어든다,피로가 쉽게 누적돼요,스트레칭을 해야 하는 이유는 부상을 예방할 수 있기 때문이다.
2024. 6. 13 오전 9:17:34,11,예,1,습관이 되지 않아서,자세가 좋아진다,습관이 되지 않아서,스트레칭을 해야 하는 이유는 혈액 순환을 개선할 수 있기 때문이다.
2024. 6. 13 오전 9:20:59,11,예,3,다른 운동이 더 중요하다고 생각해서,몸이 가벼워진다,운동 후 근육통이 심해요.,스트레칭을 해야 하는 이유는 관절 가동 범위를 증가시킬 수 있기 때문이다.
2024. 6. 13 오전 9:27:19,11,예,2,스트레칭이 필요 없다고 생각해서,몸이 가벼워진다,운동 후 근육통이 심해요,스트레칭을 해야 하는 이유는 관절 가동 범위를 증가시킬 수 있기 때문이다.
2024. 6. 13 오후 12:10:58,8,아니오,0,가끔한다. 귀찮고 효과를 모르겠어서 안하는 경우가 많다,,졸리고 어깨 아픔,스트레칭은 우리의 굳운 몸을 살려줄수 잇다
2024. 6. 13 오후 2:07:06,10,예,3,없음,균형감각이 좋아진다.,없음,스트레칭은 우리 일상을 활기차게 만들어주고 건강한 삶으로 만들어준다
2024. 6. 13 오후 2:07:24,11,예,3,몸이 유연해서 필요성을 못 느껴서.,에너지가 증가한다,허리 통증이 자주 발생해요,스트레칭을 해야 하는 이유는 스트레스를 감소시킬 수 있기 때문이다.
2024. 6. 13 오후 2:09:15,7,아니오,0,평소 스트레칭을 잘 안하기 때문에 갑작스럽게 스트레칭을 하게 된다면 근육이 놀라서 몸이 뻐근해지고 오히려 더 힘들어진다 ,,거북목이 심하다.,스트레칭을 우리 몸을 건강하고 유연하게 가꿔주지만 평소 매일 꾸준히 해야하지만 갑작스럽게 하게 되면 몸이 뻐근해진다.
2024. 6. 13 오후 2:09:45,11,예,3,기억을 못 해서,피로 회복이 빨라진다.,아침에 몸이 뻣뻣해요.,스트레칭을 해야 하는 이유는 피로를 감소시킬 수 있기 때문이다.
2024. 6. 13 오후 2:14:07,11,예,2,스트레칭으로 다친 경험이 있어서,피부가 좋아진다.,혈액순환이 잘 안 돼요.,스트레칭을 해야 하는 이유는 운동 후 뻣뻣함을 감소시킬 수 있기 때문이다.
2024. 6. 13 오후 2:16:27,9,예,5,없음,마음과 몸이 너무너무너무 편해져요,,스트레칭을 안 하면 너무 예민해지는거 같아요 학교에서도 하고 있어요
2024. 6. 13 오후 4:46:13,10,예,7,없음,"상쾌한,키크는 느낌.",평범.,"스트래칭을 해야하는 이유는 키도 크고, 유연성도 좋아지고,무엇보다 근육의 탄성력을 증가시키기 때문이다."